predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,overall_score,0,per_ckpt,step2600000-tokens14792B,72,0.011,0.9301,0.0171,0.9021,average_rankme,none
abs_diff,overall_score,0,per_ckpt,step2627139-tokens15T,72,0.0163,0.9001,0.0228,0.8791,average_rankme,none
abs_diff,overall_score,0,per_ckpt,main,72,0.004,0.972,0.0064,0.967,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step50000-tokens210B,72,-0.0054,0.973,0.0368,0.8122,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step100000-tokens420B,72,0.0403,0.8092,0.0756,0.6324,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step150000-tokens630B,72,0.0272,0.8531,0.048,0.7542,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step200000-tokens840B,72,0.0382,0.8002,0.0546,0.7253,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step250000-tokens1050B,72,0.008,0.96,0.0342,0.8302,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step300000-tokens1260B,72,0.0042,0.977,0.0265,0.8661,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step350000-tokens1470B,72,0.0141,0.9351,0.0367,0.8162,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step400000-tokens1680B,72,0.0051,0.98,0.0191,0.9011,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step450000-tokens1890B,72,-0.0073,0.968,0.0239,0.8891,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step500000-tokens2100B,72,0.0066,0.973,0.0244,0.8771,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step550000-tokens2310B,72,-0.0152,0.9171,0.0147,0.9251,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step600000-tokens2520B,72,-0.0287,0.8651,0.008,0.964,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step650000-tokens2730B,72,-0.0282,0.8651,-0.0008,0.993,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step700000-tokens2940B,72,-0.061,0.7133,-0.0105,0.9461,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step750000-tokens3150B,72,-0.0599,0.7223,-0.0141,0.9301,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step800000-tokens3360B,72,-0.0676,0.6763,-0.0126,0.9331,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step850000-tokens3570B,72,-0.0338,0.8382,-0.0122,0.9381,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step900000-tokens3780B,72,-0.0118,0.9371,0.0063,0.965,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step950000-tokens3990B,72,-0.0113,0.9311,0.0018,0.989,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1000000-tokens4200B,72,-0.0111,0.9461,0.0062,0.971,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1194000-tokens5014B,72,-0.0044,0.98,0.0055,0.969,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1432000-tokens6014B,72,-0.0097,0.952,0.0048,0.975,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1670000-tokens7014B,72,0.0557,0.7493,0.0831,0.6124,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1678000-tokens7047B,72,-0.0043,0.974,0.0171,0.9231,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1700000-tokens7232B,72,-0.009,0.954,0.0158,0.9321,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1750000-tokens7652B,72,0.0072,0.968,0.0371,0.8082,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1800000-tokens8072B,72,-0.0064,0.97,0.0028,0.985,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1850000-tokens8492B,72,-0.0497,0.7672,-0.0168,0.9121,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1900000-tokens8912B,72,-0.0786,0.6414,-0.0242,0.8861,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step1950000-tokens9332B,72,-0.0587,0.7353,-0.0195,0.9191,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2000000-tokens9752B,72,-0.0111,0.9461,0.0097,0.957,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2050000-tokens10172B,72,-0.0037,0.985,0.0085,0.963,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2100000-tokens10592B,72,-0.0078,0.968,0.0197,0.9091,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2150000-tokens11012B,72,-0.046,0.7792,-0.0064,0.966,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2200000-tokens11432B,72,-0.0044,0.98,0.0104,0.952,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2250000-tokens11852B,72,-0.0506,0.7642,-0.0187,0.9111,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2300000-tokens12272B,72,-0.0216,0.8961,-0.0022,0.995,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2350000-tokens12692B,72,-0.0151,0.9291,0.002,0.991,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2400000-tokens13112B,72,-0.0107,0.9441,0.0094,0.9431,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2450000-tokens13532B,72,-0.0185,0.9181,0.0215,0.8901,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2500000-tokens13952B,72,-0.026,0.8891,0.013,0.9411,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2550000-tokens14372B,72,-0.0154,0.9321,0.0081,0.964,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2600000-tokens14792B,72,-0.0215,0.9101,0.0049,0.984,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,step2627139-tokens15T,72,-0.021,0.9051,0.0083,0.962,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,main,72,-0.034,0.8521,-0.0034,0.981,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step50000-tokens210B,72,-0.26,0.1319,-0.2724,0.1079,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step100000-tokens420B,72,-0.2716,0.1369,-0.2891,0.1239,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step150000-tokens630B,72,-0.2684,0.1439,-0.3115,0.1009,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step200000-tokens840B,72,-0.2607,0.1518,-0.2997,0.1159,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step250000-tokens1050B,72,-0.2847,0.1199,-0.319,0.0919,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step300000-tokens1260B,72,-0.2704,0.1209,-0.3083,0.0889,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step350000-tokens1470B,72,-0.2575,0.1499,-0.2908,0.0959,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step400000-tokens1680B,72,-0.2629,0.1299,-0.296,0.0899,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step450000-tokens1890B,72,-0.2631,0.1269,-0.2939,0.0899,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step500000-tokens2100B,72,-0.2438,0.1479,-0.2826,0.0939,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step550000-tokens2310B,72,-0.2607,0.1079,-0.2899,0.0869,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step600000-tokens2520B,72,-0.2805,0.0939,-0.3018,0.0779,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step650000-tokens2730B,72,-0.279,0.1009,-0.305,0.0779,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step700000-tokens2940B,72,-0.2906,0.0819,-0.308,0.0769,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step750000-tokens3150B,72,-0.2871,0.1019,-0.312,0.0759,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step800000-tokens3360B,72,-0.2939,0.0779,-0.3022,0.0729,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step850000-tokens3570B,72,-0.2798,0.1089,-0.3177,0.0749,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step900000-tokens3780B,72,-0.2618,0.1219,-0.2999,0.0859,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step950000-tokens3990B,72,-0.2601,0.1399,-0.3032,0.0859,average_rankme,none
abs_diff,transfer_score_str,0,per_ckpt,step1000000-tokens4200B,72,-0.2672,0.1249,-0.3084,0.0809,average_rankme,none
