model,original_language,target_language,transfer_score,transfer_margin,overall_score,overall_margin
FuxiTranyu-8B-DPO,es,zh,0.578860652265989,0.27678271463973947,0.16948040674603176,0.12998935594349434
FuxiTranyu-8B-DPO,fr,de,0.32864494717163445,0.2972510183138358,0.09407046657046658,0.12198617354713476
FuxiTranyu-8B-DPO,fr,en,0.6037649689246978,0.30952385832655893,0.17282009905963258,0.15799155083072614
FuxiTranyu-8B-DPO,fr,es,0.581232438345363,0.3122088280423144,0.16637044668294668,0.15561856032659616
FuxiTranyu-8B-DPO,fr,hi,0.32529670006511646,0.2964694763919387,0.0931120731120731,0.12142736165175907
FuxiTranyu-8B-DPO,fr,id,0.5244086208356169,0.3160353320657924,0.15010534639322518,0.1492510447182192
FuxiTranyu-8B-DPO,fr,it,0.3942387674081543,0.30925315752025634,0.1128458694083694,0.13221451113215277
FuxiTranyu-8B-DPO,fr,ja,0.2494371530542682,0.27381538246069465,0.07139823560278105,0.1075957810923277
FuxiTranyu-8B-DPO,fr,zh,0.6367317561810008,0.30435168654510397,0.18225642566443542,0.16131945463003547
FuxiTranyu-8B-DPO,hi,de,0.3654790555068982,0.1826662680838674,0.0900721906655382,0.07013857463528196
FuxiTranyu-8B-DPO,hi,en,0.3235716664469511,0.1774599138153068,0.07974412868544152,0.0663684631483267
FuxiTranyu-8B-DPO,hi,es,0.2717919465233491,0.1687524780534907,0.06698303407470307,0.06124706506161453
FuxiTranyu-8B-DPO,hi,fr,0.3483569787306569,0.1807262595090004,0.08585246058595647,0.06863452379159213
FuxiTranyu-8B-DPO,hi,id,0.3226941549237535,0.1773340323156645,0.0795278662648247,0.06628619527393101
FuxiTranyu-8B-DPO,hi,it,0.23496647103919555,0.16082268551141837,0.05790740799113077,0.05722317639316533
FuxiTranyu-8B-DPO,hi,ja,0.400997858792783,0.18590426027223894,0.09882578782404236,0.07311350841130826
FuxiTranyu-8B-DPO,hi,zh,0.5229654703389388,0.1894591321587223,0.1288846647875084,0.0820911910408373
FuxiTranyu-8B-DPO,id,de,0.3959696036937284,0.29201086876711996,0.08512200165425972,0.09823579171602555
FuxiTranyu-8B-DPO,id,en,0.5653929867445249,0.2959799337383702,0.12154312428031594,0.11502511210052002
FuxiTranyu-8B-DPO,id,es,0.45136484117823095,0.2971285449350244,0.09703037404650308,0.10419758845304532
FuxiTranyu-8B-DPO,id,fr,0.3587918430165449,0.28639108492167215,0.0771298593879239,0.09391799472614899
FuxiTranyu-8B-DPO,id,hi,0.3037853386833765,0.2745956684803,0.0653050533695695,0.08697122472103347
FuxiTranyu-8B-DPO,id,it,0.4417793473680354,0.29651341702033734,0.09496977037299618,0.10320280013802806
FuxiTranyu-8B-DPO,id,ja,0.4679516541771256,0.2979303432628424,0.1005960586605748,0.1058851655645606
FuxiTranyu-8B-DPO,id,zh,0.5641446081379556,0.29607731061429166,0.1212747590198963,0.11491560425048788
FuxiTranyu-8B-DPO,it,de,0.43865546218487406,0.36669039847352053,0.09000000000000001,0.10415761885733216
FuxiTranyu-8B-DPO,it,en,0.642857142857143,0.354079870936659,0.13189655172413794,0.12315485962152677
FuxiTranyu-8B-DPO,it,es,0.46932773109243703,0.368785911700216,0.09629310344827587,0.10736444471772635
FuxiTranyu-8B-DPO,it,fr,0.41302521008403364,0.363848862887891,0.08474137931034482,0.1013605061222391
