model,original_language,target_language,transfer_score,transfer_margin,overall_score,overall_margin
Apertus-8B-Instruct-2509,id,fr,0.4758443062667642,0.314530475534718,0.10760614833195478,0.10908475789193975
Apertus-8B-Instruct-2509,id,hi,0.3183561500679277,0.2933833893340529,0.07199220134704007,0.09098834879454085
Apertus-8B-Instruct-2509,id,it,0.4823736370919985,0.3147024434119651,0.10908267359880261,0.1097397164204324
Apertus-8B-Instruct-2509,id,ja,0.37882020645371056,0.3055099557862533,0.08566538002021871,0.09851956804236618
Apertus-8B-Instruct-2509,id,zh,0.46028733814266065,0.31390335442687256,0.10408813750885311,0.10749803022681917
Apertus-8B-Instruct-2509,it,de,0.17478991596638654,0.2894342443343483,0.03586206896551724,0.06767625955178083
Apertus-8B-Instruct-2509,it,en,0.42058823529411765,0.3762111631580752,0.08629310344827586,0.10219757427448593
Apertus-8B-Instruct-2509,it,es,0.492436974789916,0.38100421408448043,0.10103448275862069,0.10968706604073246
Apertus-8B-Instruct-2509,it,fr,0.6542016806722689,0.3624738912614034,0.1342241379310345,0.12407010234442559
Apertus-8B-Instruct-2509,it,hi,0.05602240896358543,0.17525531405719597,0.011494252873563218,0.038795295578449934
Apertus-8B-Instruct-2509,it,id,0.38487394957983195,0.3708094396665457,0.07896551724137932,0.09815349748669683
Apertus-8B-Instruct-2509,it,ja,0.34453781512605036,0.36216104246533415,0.07068965517241378,0.0932840535230699
Apertus-8B-Instruct-2509,it,zh,0.5546218487394957,0.37876723573608534,0.11379310344827585,0.11557785383091745
Apertus-8B-Instruct-2509,ja,de,0.2050822640927831,0.20803821063275427,0.08123473748473747,0.10501095087478925
Apertus-8B-Instruct-2509,ja,en,0.35464108195584315,0.24649785480239636,0.14047619047619048,0.133564712424085
Apertus-8B-Instruct-2509,ja,es,0.3188760954166311,0.24012755979691375,0.1263093910919998,0.12769034830145484
Apertus-8B-Instruct-2509,ja,fr,0.24359418949639727,0.22117134300626107,0.0964896214896215,0.11349279490916937
