checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
426B,Arabic,m_mmlu,m_mmlu_ar,0.2625309405940594,5,0.25,63.5793,9.4066,0.695797,0.2384,0.5824,0.6467,0.7147,0.7569,0.7945,0.8462,0.8894,0.9359,layer_29,last
436B,Arabic,m_mmlu,m_mmlu_ar,0.2571936881188119,5,0.25,65.3194,9.5524,0.699478,0.2405,0.5773,0.6414,0.7109,0.7538,0.7923,0.8451,0.889,0.9358,layer_29,last
447B,Arabic,m_mmlu,m_mmlu_ar,0.2560334158415842,5,0.25,67.5313,9.7811,0.693584,0.2275,0.5721,0.6368,0.707,0.7504,0.789,0.8421,0.8864,0.934,layer_29,last
457B,Arabic,m_mmlu,m_mmlu_ar,0.2516243811881188,5,0.25,69.4692,9.8284,0.686191,0.2285,0.5697,0.6336,0.7027,0.7458,0.7845,0.838,0.8829,0.9315,layer_29,last
468B,Arabic,m_mmlu,m_mmlu_ar,0.2600556930693069,5,0.25,69.5165,9.8624,0.690197,0.235,0.5679,0.6325,0.7029,0.7467,0.7856,0.8391,0.8839,0.9323,layer_29,last
478B,Arabic,m_mmlu,m_mmlu_ar,0.25642017326732675,5,0.25,67.634,9.864,0.704277,0.2323,0.5688,0.6357,0.7071,0.7513,0.7905,0.8441,0.8885,0.9358,layer_29,last
489B,Arabic,m_mmlu,m_mmlu_ar,0.2589727722772277,5,0.25,71.0973,10.0398,0.692744,0.2305,0.5635,0.6289,0.7002,0.7444,0.784,0.8384,0.8837,0.9323,layer_29,last
499B,Arabic,m_mmlu,m_mmlu_ar,0.2660891089108911,5,0.25,71.4469,10.2543,0.69715,0.2296,0.5618,0.6289,0.7008,0.7457,0.7854,0.8397,0.8848,0.9332,layer_29,last
510B,Arabic,m_mmlu,m_mmlu_ar,0.26330445544554454,5,0.25,74.8473,10.5038,0.688295,0.2268,0.5574,0.6237,0.6945,0.7394,0.7795,0.8344,0.8805,0.9303,layer_29,last
520B,Arabic,m_mmlu,m_mmlu_ar,0.26168007425742573,5,0.25,74.5249,10.297,0.686821,0.2285,0.5562,0.6225,0.6937,0.7389,0.7791,0.8342,0.8803,0.93,layer_29,last
