checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,English,layer_21,mean,105.1884,15.3949,0.834864,0.2303,0.4052,0.5084,0.6366,0.7194,0.7897,0.8671,0.9175,0.959
10B,English,layer_22,mean,119.4014,19.4589,0.843796,0.1958,0.3785,0.4843,0.6196,0.707,0.7828,0.8655,0.9174,0.9593
10B,English,layer_23,mean,132.801,23.6576,0.851765,0.1684,0.3566,0.4671,0.6051,0.6954,0.774,0.8608,0.9155,0.9589
10B,English,layer_24,mean,138.4126,30.5423,0.866,0.1324,0.3251,0.4447,0.6065,0.7044,0.785,0.8702,0.9221,0.9625
10B,English,layer_25,mean,132.7447,34.2985,0.879767,0.1044,0.3179,0.4455,0.6161,0.719,0.8012,0.8825,0.9302,0.9667
10B,English,layer_26,mean,125.7905,36.9873,0.906217,0.0803,0.3061,0.4443,0.6241,0.733,0.8176,0.8966,0.9405,0.9722
10B,English,layer_27,mean,125.3546,37.5352,0.917734,0.0856,0.3025,0.4423,0.6223,0.7329,0.8193,0.8993,0.9431,0.9738
10B,English,layer_28,mean,125.521,37.7155,0.926598,0.0857,0.3005,0.4396,0.6194,0.7309,0.8192,0.901,0.9448,0.9748
10B,English,layer_29,mean,120.0513,35.3652,0.92866,0.0893,0.3129,0.4524,0.6277,0.7358,0.8221,0.9031,0.9463,0.9756
10B,Chinese,layer_0,last,184.5541,46.9342,1.310906,0.1097,0.2454,0.3304,0.4646,0.5889,0.7283,0.8865,0.9594,0.9892
10B,Chinese,layer_1,last,230.1935,51.7675,1.10014,0.1035,0.236,0.3169,0.442,0.5551,0.6851,0.8443,0.9296,0.9756
10B,Chinese,layer_2,last,248.7216,56.2603,1.021581,0.0949,0.2276,0.3149,0.4413,0.5517,0.6771,0.8308,0.9157,0.9668
10B,Chinese,layer_3,last,215.3086,39.9588,0.977817,0.1124,0.2834,0.3637,0.4794,0.5782,0.6906,0.8299,0.9097,0.962
10B,Chinese,layer_4,last,188.63,27.5123,0.951292,0.16,0.3219,0.3953,0.5033,0.5948,0.6987,0.8286,0.9052,0.9586
10B,Chinese,layer_5,last,191.4618,26.0039,0.930288,0.1686,0.3265,0.399,0.5036,0.5923,0.693,0.8201,0.8972,0.9538
10B,Chinese,layer_6,last,206.3138,27.6263,0.914114,0.1632,0.3189,0.3909,0.4938,0.5819,0.6816,0.8089,0.8882,0.9487
10B,Chinese,layer_7,last,234.5322,30.9473,0.896495,0.1539,0.3011,0.372,0.4727,0.5608,0.661,0.7925,0.8765,0.9423
10B,Chinese,layer_8,last,256.8504,32.8288,0.879117,0.15,0.2896,0.3594,0.4582,0.5455,0.645,0.7782,0.8656,0.9361
10B,Chinese,layer_9,last,282.0026,34.7954,0.860309,0.1468,0.2774,0.3454,0.4431,0.5287,0.6276,0.7639,0.8549,0.9296
10B,Chinese,layer_10,last,300.4152,37.1374,0.843866,0.1411,0.2689,0.3354,0.4329,0.5188,0.6185,0.7561,0.8478,0.9247
10B,Chinese,layer_11,last,316.6631,36.4939,0.823075,0.1441,0.2667,0.3313,0.4279,0.51,0.6054,0.7416,0.8361,0.9174
10B,Chinese,layer_12,last,331.9687,37.7607,0.810611,0.1415,0.2608,0.3237,0.4193,0.5012,0.5969,0.7345,0.8303,0.9134
10B,Chinese,layer_13,last,350.1209,39.5744,0.796678,0.1364,0.2571,0.3192,0.4135,0.4935,0.5866,0.7233,0.8213,0.9076
10B,Chinese,layer_14,last,375.7249,42.5117,0.778724,0.1286,0.2506,0.3137,0.4073,0.4846,0.5737,0.708,0.8086,0.8997
10B,Chinese,layer_15,last,402.7535,47.253,0.769894,0.1198,0.2407,0.3022,0.3965,0.4748,0.5641,0.699,0.8014,0.8951
10B,Chinese,layer_16,last,433.1193,52.9287,0.759124,0.1104,0.2307,0.2915,0.3861,0.4645,0.5538,0.6886,0.7927,0.8895
10B,Chinese,layer_17,last,463.1625,57.8943,0.747961,0.1019,0.224,0.2831,0.3765,0.4543,0.5428,0.6767,0.7824,0.8831
10B,Chinese,layer_18,last,482.8615,62.5512,0.739022,0.0944,0.2188,0.278,0.3715,0.4494,0.5379,0.6705,0.7764,0.8789
10B,Chinese,layer_19,last,507.2198,68.0899,0.72881,0.0868,0.2128,0.2726,0.3652,0.4429,0.5313,0.6626,0.7691,0.8737
10B,Chinese,layer_20,last,524.2397,72.0029,0.717919,0.0811,0.2106,0.2705,0.3623,0.4396,0.5274,0.6569,0.7627,0.8687
10B,Chinese,layer_21,last,544.7826,75.5714,0.706428,0.076,0.2088,0.2683,0.3583,0.4347,0.5214,0.6487,0.7546,0.8628
10B,Chinese,layer_22,last,559.5296,78.5986,0.699952,0.0735,0.2076,0.2658,0.3549,0.4309,0.5171,0.6436,0.75,0.8594
10B,Chinese,layer_23,last,571.306,81.9484,0.695658,0.0715,0.2049,0.2631,0.3515,0.4283,0.5146,0.641,0.7473,0.8571
10B,Chinese,layer_24,last,558.7655,79.5322,0.693055,0.0756,0.2085,0.2678,0.357,0.4344,0.5199,0.6443,0.749,0.8575
10B,Chinese,layer_25,last,544.7616,77.3422,0.692222,0.0795,0.2093,0.2709,0.3626,0.4411,0.5268,0.6498,0.7525,0.859
10B,Chinese,layer_26,last,526.4363,74.4234,0.69474,0.0841,0.2098,0.2742,0.369,0.449,0.5349,0.6573,0.7582,0.8624
10B,Chinese,layer_27,last,483.6168,65.4043,0.69782,0.0936,0.2187,0.2855,0.3848,0.4664,0.5513,0.6711,0.7684,0.868
10B,Chinese,layer_28,last,408.052,49.2349,0.700822,0.1116,0.2542,0.3194,0.4157,0.4941,0.5749,0.6897,0.782,0.8759
10B,Chinese,layer_29,last,314.1927,33.3387,0.702203,0.142,0.3076,0.3709,0.4617,0.5337,0.6078,0.7142,0.7993,0.8857
