checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
63B,Chinese,m_mmlu,m_mmlu_zh,0.2702620584884163,5,0.25,261.2529,14.0565,0.747043,0.2589,0.3619,0.3973,0.4545,0.5035,0.5637,0.6687,0.7675,0.8745,layer_15,last
73B,Chinese,m_mmlu,m_mmlu_zh,0.25339916445119637,5,0.25,204.3743,10.8547,0.745653,0.2969,0.4016,0.4364,0.4899,0.535,0.5906,0.688,0.7805,0.8812,layer_15,last
84B,Chinese,m_mmlu,m_mmlu_zh,0.2557538928978352,5,0.25,225.9865,11.5543,0.743984,0.2878,0.3844,0.4178,0.4711,0.5178,0.5756,0.6764,0.7721,0.8766,layer_15,last
94B,Chinese,m_mmlu,m_mmlu_zh,0.26965438663121916,5,0.25,4.961,1.4991,0.743576,0.8161,0.8642,0.8726,0.8852,0.8955,0.9081,0.9298,0.9505,0.9731,layer_15,last
105B,Chinese,m_mmlu,m_mmlu_zh,0.2584884162552222,5,0.25,169.1152,9.0759,0.738884,0.3256,0.4315,0.4638,0.5149,0.5581,0.6104,0.7018,0.7892,0.8854,layer_15,last
115B,Chinese,m_mmlu,m_mmlu_zh,0.27200911507785797,5,0.25,191.0043,9.5573,0.74021,0.3184,0.4092,0.441,0.4928,0.5373,0.5918,0.6872,0.7789,0.88,layer_15,last
126B,Chinese,m_mmlu,m_mmlu_zh,0.262742119255602,5,0.25,205.2589,10.6289,0.73906,0.2999,0.4028,0.4342,0.4867,0.5315,0.5866,0.6829,0.7757,0.8781,layer_15,last
136B,Chinese,m_mmlu,m_mmlu_zh,0.26767945309532853,5,0.25,175.6081,9.3507,0.738937,0.3209,0.4243,0.4582,0.5116,0.5552,0.6076,0.699,0.7869,0.884,layer_15,last
147B,Chinese,m_mmlu,m_mmlu_zh,0.27102164830991265,5,0.25,184.203,9.5076,0.737553,0.3187,0.4167,0.4489,0.5021,0.5459,0.5994,0.6923,0.7821,0.8814,layer_15,last
157B,Chinese,m_mmlu,m_mmlu_zh,0.2594758830231675,5,0.25,199.6608,10.5445,0.73736,0.3014,0.4037,0.4391,0.4948,0.5405,0.5948,0.6889,0.7796,0.8799,layer_15,last
