checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
136B,English,m_mmlu,m_mmlu_en,0.26225675064112236,5,0.25,139.414,10.7325,0.551771,0.2688,0.5129,0.5429,0.5817,0.6154,0.6545,0.7196,0.7841,0.8622,layer_29,last
147B,English,m_mmlu,m_mmlu_en,0.26813999094886104,5,0.25,138.6775,10.3532,0.549831,0.2783,0.512,0.5423,0.5811,0.6148,0.6536,0.7183,0.7828,0.8611,layer_29,last
157B,English,m_mmlu,m_mmlu_en,0.2699502187358576,5,0.25,119.6899,10.0914,0.548417,0.2685,0.5384,0.5671,0.6037,0.6354,0.6721,0.7334,0.7943,0.8683,layer_29,last
168B,English,m_mmlu,m_mmlu_en,0.25727862422688186,5,0.25,155.6887,10.6856,0.547857,0.2796,0.4921,0.5235,0.5636,0.598,0.638,0.7051,0.7725,0.8544,layer_29,last
178B,English,m_mmlu,m_mmlu_en,0.2699502187358576,5,0.25,151.4478,10.4197,0.550355,0.2838,0.4945,0.526,0.5665,0.6014,0.6415,0.7085,0.7753,0.8565,layer_29,last
189B,English,m_mmlu,m_mmlu_en,0.2710061849449389,5,0.25,130.9457,10.0349,0.546293,0.2813,0.5211,0.5514,0.5894,0.6221,0.6597,0.7226,0.7855,0.8624,layer_29,last
199B,English,m_mmlu,m_mmlu_en,0.2712324634183135,5,0.25,147.7025,9.9757,0.54701,0.2928,0.498,0.5288,0.5685,0.6027,0.6423,0.7085,0.7747,0.8556,layer_29,last
210B,English,m_mmlu,m_mmlu_en,0.266254337004073,5,0.25,144.1653,9.6077,0.546038,0.2993,0.4995,0.5303,0.57,0.604,0.6434,0.7094,0.7752,0.8558,layer_29,last
220B,English,m_mmlu,m_mmlu_en,0.2675365816865289,5,0.25,150.7429,9.4302,0.548399,0.3048,0.4879,0.5184,0.5589,0.5938,0.6344,0.7025,0.7705,0.8533,layer_29,last
231B,English,m_mmlu,m_mmlu_en,0.2716850203650626,5,0.25,150.8387,9.3653,0.546088,0.3056,0.4883,0.5184,0.5583,0.5927,0.633,0.7008,0.7688,0.852,layer_29,last
241B,English,m_mmlu,m_mmlu_en,0.2640669784281189,5,0.25,142.3376,9.5185,0.544988,0.2985,0.5026,0.5317,0.5704,0.6036,0.6426,0.7084,0.7743,0.8553,layer_29,last
252B,English,m_mmlu,m_mmlu_en,0.26436868305928496,5,0.25,144.8853,10.9749,0.549574,0.266,0.5037,0.5357,0.5776,0.6127,0.6523,0.7171,0.7812,0.8597,layer_29,last
262B,English,m_mmlu,m_mmlu_en,0.26806456479106955,5,0.25,150.2993,11.4722,0.551771,0.2584,0.4984,0.5314,0.574,0.6096,0.6496,0.715,0.7798,0.8591,layer_29,last
273B,English,m_mmlu,m_mmlu_en,0.2621058983255393,5,0.25,134.1779,11.5505,0.552386,0.2449,0.5178,0.5518,0.5945,0.6296,0.6686,0.7312,0.7921,0.8666,layer_29,last
283B,English,m_mmlu,m_mmlu_en,0.27017649720923215,5,0.25,153.8079,12.4452,0.550981,0.2409,0.4955,0.5309,0.5758,0.6125,0.6531,0.7183,0.782,0.86,layer_29,last
294B,English,m_mmlu,m_mmlu_en,0.26972394026248303,5,0.25,171.5272,13.4455,0.552925,0.2335,0.4768,0.514,0.5608,0.5992,0.6417,0.7096,0.7757,0.8561,layer_29,last
304B,English,m_mmlu,m_mmlu_en,0.26919595715794237,5,0.25,199.8737,15.0408,0.550116,0.2217,0.4512,0.4908,0.5408,0.581,0.6251,0.6954,0.764,0.8482,layer_29,last
315B,English,m_mmlu,m_mmlu_en,0.2642932569014934,5,0.25,189.3594,14.6036,0.551529,0.224,0.4592,0.4998,0.5493,0.5891,0.6325,0.7017,0.7692,0.8517,layer_29,last
325B,English,m_mmlu,m_mmlu_en,0.2621813244833308,5,0.25,222.1645,15.7233,0.549812,0.2216,0.4294,0.4724,0.5243,0.5663,0.612,0.685,0.7561,0.8431,layer_29,last
334B,English,m_mmlu,m_mmlu_en,0.2630864383768291,5,0.25,215.0674,15.5699,0.550694,0.2214,0.436,0.4781,0.5299,0.5717,0.6168,0.6887,0.7588,0.8449,layer_29,last
342B,English,m_mmlu,m_mmlu_en,0.26278473374566297,5,0.25,223.7609,16.089,0.549523,0.2169,0.4298,0.4724,0.5243,0.5661,0.6115,0.6842,0.7552,0.8425,layer_29,last
352B,English,m_mmlu,m_mmlu_en,0.25448785638859556,5,0.25,219.2726,15.7062,0.55412,0.2216,0.4295,0.4737,0.5268,0.5694,0.6152,0.6881,0.7589,0.8454,layer_29,last
363B,English,m_mmlu,m_mmlu_en,0.2670085985819882,5,0.25,227.9943,15.7896,0.55583,0.2241,0.4182,0.465,0.52,0.5641,0.6112,0.6854,0.7571,0.8443,layer_29,last
394B,English,m_mmlu,m_mmlu_en,0.2545632825463871,5,0.25,251.4788,17.8138,0.55338,0.2059,0.4057,0.4524,0.5077,0.5521,0.5998,0.6752,0.7488,0.8388,layer_29,last
405B,English,m_mmlu,m_mmlu_en,0.25750490270025644,5,0.25,247.6277,17.3022,0.5527,0.2113,0.4055,0.4539,0.51,0.5546,0.6023,0.6773,0.7502,0.8395,layer_29,last
447B,English,m_mmlu,m_mmlu_en,0.24966058228993815,5,0.25,262.8447,18.1655,0.553642,0.2061,0.3934,0.443,0.501,0.5467,0.5955,0.6721,0.7463,0.8371,layer_29,last
10B,German,m_mmlu,m_mmlu_de,0.2722884296273948,5,0.25,446.877,29.3744,0.615491,0.1666,0.2844,0.3279,0.3929,0.4481,0.5132,0.6223,0.7234,0.8344,layer_29,last
21B,German,m_mmlu,m_mmlu_de,0.26595263237290695,5,0.25,326.0415,18.7539,0.58576,0.2122,0.3473,0.3886,0.4459,0.4934,0.5497,0.6438,0.7333,0.8355,layer_29,last
31B,German,m_mmlu,m_mmlu_de,0.2628601599034545,5,0.25,243.8186,14.3073,0.580431,0.2443,0.3975,0.4378,0.492,0.5357,0.5867,0.672,0.7531,0.8465,layer_29,last
42B,German,m_mmlu,m_mmlu_de,0.25856086890933777,5,0.25,186.491,11.4626,0.574066,0.2766,0.4439,0.4829,0.5336,0.5734,0.6199,0.6968,0.7703,0.8562,layer_29,last
52B,German,m_mmlu,m_mmlu_de,0.25584552722884296,5,0.25,165.746,10.5517,0.57207,0.2866,0.4614,0.5012,0.5502,0.5884,0.6328,0.7066,0.7774,0.8602,layer_29,last
63B,German,m_mmlu,m_mmlu_de,0.2683662694222356,5,0.25,147.0499,9.5825,0.568503,0.3012,0.4813,0.519,0.5658,0.602,0.6445,0.7152,0.7833,0.8635,layer_29,last
73B,German,m_mmlu,m_mmlu_de,0.2604465228541258,5,0.25,139.9052,9.3188,0.567473,0.3048,0.4892,0.527,0.573,0.6086,0.6503,0.7198,0.7865,0.8653,layer_29,last
84B,German,m_mmlu,m_mmlu_de,0.2564489364911751,5,0.25,126.4537,8.6008,0.566359,0.3188,0.5041,0.5406,0.5859,0.6205,0.6609,0.7281,0.7926,0.869,layer_29,last
94B,German,m_mmlu,m_mmlu_de,0.2648966661638256,5,0.25,122.0111,8.5524,0.563852,0.3183,0.5125,0.5482,0.5927,0.6264,0.6659,0.7316,0.7949,0.8701,layer_29,last
105B,German,m_mmlu,m_mmlu_de,0.26391612611253584,5,0.25,114.1063,8.0433,0.56269,0.3295,0.521,0.5567,0.5997,0.6327,0.6712,0.7355,0.7976,0.8717,layer_29,last
115B,German,m_mmlu,m_mmlu_de,0.2716850203650626,5,0.25,112.3119,8.061,0.562631,0.3291,0.5238,0.5597,0.6035,0.6368,0.6754,0.7392,0.8004,0.8733,layer_29,last
126B,German,m_mmlu,m_mmlu_de,0.26670689395082214,5,0.25,111.6494,7.8503,0.556756,0.3336,0.5247,0.5596,0.6021,0.6344,0.6721,0.7353,0.7967,0.8704,layer_29,last
136B,German,m_mmlu,m_mmlu_de,0.266254337004073,5,0.25,97.4566,7.9781,0.556694,0.3253,0.554,0.5872,0.6285,0.6592,0.6947,0.7537,0.8106,0.879,layer_29,last
147B,German,m_mmlu,m_mmlu_de,0.2656509277417408,5,0.25,94.2688,7.6041,0.553735,0.3357,0.5579,0.5904,0.6308,0.661,0.6959,0.754,0.8103,0.8786,layer_29,last
157B,German,m_mmlu,m_mmlu_de,0.2697993664202746,5,0.25,87.8552,7.7591,0.552953,0.326,0.5736,0.6044,0.6435,0.6726,0.7065,0.7626,0.817,0.8827,layer_29,last
168B,German,m_mmlu,m_mmlu_de,0.25961683511841904,5,0.25,103.8522,7.7863,0.553292,0.3344,0.5416,0.5747,0.6161,0.6474,0.6837,0.744,0.8026,0.8736,layer_29,last
178B,German,m_mmlu,m_mmlu_de,0.27176044652285414,5,0.25,100.8148,7.555,0.553614,0.3399,0.5442,0.5769,0.6188,0.6501,0.6862,0.7461,0.8043,0.8747,layer_29,last
189B,German,m_mmlu,m_mmlu_de,0.26761200784432043,5,0.25,92.4848,7.5445,0.549531,0.3362,0.5632,0.5944,0.6333,0.6632,0.6975,0.7547,0.8103,0.8781,layer_29,last
199B,German,m_mmlu,m_mmlu_de,0.27492834515009806,5,0.25,100.5003,7.4818,0.551863,0.3436,0.5461,0.5784,0.6188,0.65,0.6861,0.7458,0.8037,0.8741,layer_29,last
210B,German,m_mmlu,m_mmlu_de,0.2713833157338965,5,0.25,100.6143,7.2996,0.549454,0.3489,0.5444,0.576,0.616,0.6473,0.6832,0.7429,0.8012,0.8723,layer_29,last
220B,German,m_mmlu,m_mmlu_de,0.2682154171066526,5,0.25,98.1872,6.9171,0.552512,0.3605,0.5426,0.5739,0.6144,0.6458,0.6823,0.7428,0.8016,0.873,layer_29,last
231B,German,m_mmlu,m_mmlu_de,0.27017649720923215,5,0.25,92.8874,6.72,0.550282,0.3641,0.5523,0.5821,0.6209,0.651,0.6865,0.7458,0.8037,0.8742,layer_29,last
241B,German,m_mmlu,m_mmlu_de,0.2638406999547443,5,0.25,96.0901,7.0787,0.548406,0.3523,0.5515,0.5812,0.62,0.6502,0.6855,0.7447,0.8026,0.8732,layer_29,last
252B,German,m_mmlu,m_mmlu_de,0.26120078443204103,5,0.25,105.0188,8.3756,0.555099,0.3175,0.5422,0.5772,0.62,0.6526,0.6894,0.7489,0.8062,0.8757,layer_29,last
