predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
log_ratio,transfer_score_str,0,pooled,,4176,-0.1601,0.0,-0.1577,0.0,average_rankme,none
log_ratio,overall_score_str,0,pooled,,4176,-0.159,0.0,-0.087,0.0,average_rankme,none
log_ratio,transfer_margin_str,0,pooled,,4176,0.3454,0.0,0.3229,0.0,average_rankme,none
log_ratio,overall_margin_str,0,pooled,,4176,0.1592,0.0,0.2396,0.0,average_rankme,none
log_ratio,accuracy_gpt-5-mini,0,pooled,,4176,-0.1558,0.0,-0.1638,0.0,average_rankme,none
log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.2318,0.0,-0.1989,0.0,average_rankme,none
log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,-0.1881,0.0,-0.228,0.0,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,10B,72,-0.1886,0.1928,-0.2065,0.1718,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,21B,72,-0.1758,0.2168,-0.1944,0.1938,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,31B,72,-0.1717,0.2078,-0.198,0.1808,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,42B,72,-0.1728,0.1918,-0.1895,0.1828,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,52B,72,-0.1719,0.2128,-0.1947,0.1908,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,63B,72,-0.174,0.1978,-0.1899,0.1938,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,73B,72,-0.1396,0.3337,-0.1588,0.2997,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,84B,72,-0.1596,0.2448,-0.1896,0.1878,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,94B,72,-0.0486,0.6354,-0.0542,0.6543,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,105B,72,-0.1933,0.1598,-0.1888,0.2008,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,115B,72,-0.1704,0.2048,-0.1933,0.1848,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,126B,72,-0.1759,0.2018,-0.1928,0.1858,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,136B,72,-0.1774,0.1868,-0.1975,0.1698,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,147B,72,-0.1653,0.2378,-0.1792,0.2208,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,157B,72,-0.1596,0.2647,-0.1882,0.2038,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,168B,72,-0.1786,0.2178,-0.1881,0.2028,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,178B,72,-0.1681,0.2448,-0.1873,0.2168,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,189B,72,-0.1606,0.2248,-0.1899,0.1898,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,199B,72,-0.1604,0.2677,-0.1879,0.2068,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,210B,72,-0.1646,0.2368,-0.1833,0.2178,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,220B,72,-0.1605,0.2488,-0.1829,0.2168,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,231B,72,-0.1555,0.2797,-0.1787,0.2248,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,241B,72,-0.1387,0.3267,-0.1676,0.2627,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,252B,72,-0.1262,0.3816,-0.177,0.2448,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,262B,72,-0.177,0.2068,-0.1992,0.1748,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,273B,72,-0.1671,0.2378,-0.1867,0.2068,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,283B,72,-0.1626,0.2547,-0.1862,0.2078,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,294B,72,-0.1603,0.2468,-0.1807,0.2198,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,304B,72,-0.1537,0.2697,-0.1818,0.2098,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,315B,72,-0.1912,0.1628,-0.2093,0.1578,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,325B,72,-0.1569,0.2567,-0.1859,0.1898,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,334B,72,-0.1748,0.2058,-0.1889,0.1998,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,342B,72,-0.1739,0.2128,-0.1914,0.1978,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,352B,72,-0.1475,0.2827,-0.1814,0.2108,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,363B,72,-0.164,0.2278,-0.1878,0.1878,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,373B,72,-0.1583,0.2328,-0.1797,0.2048,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,384B,72,-0.1762,0.2038,-0.2093,0.1548,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,394B,72,-0.1618,0.2248,-0.1872,0.1858,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,405B,72,-0.1825,0.1678,-0.2039,0.1469,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,415B,72,-0.1466,0.2937,-0.1798,0.2048,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,426B,72,-0.1696,0.2108,-0.2059,0.1518,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,436B,72,-0.1586,0.2468,-0.1891,0.1828,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,447B,72,-0.1798,0.1848,-0.1958,0.1868,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,457B,72,-0.1872,0.1419,-0.2063,0.1568,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,468B,72,-0.1851,0.1678,-0.2043,0.1668,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,478B,72,-0.1756,0.1848,-0.1945,0.1818,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,489B,72,-0.1505,0.2777,-0.1863,0.1968,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,499B,72,-0.1621,0.2398,-0.1907,0.1908,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,510B,72,-0.1614,0.2338,-0.192,0.1808,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,520B,72,-0.1841,0.1538,-0.2024,0.1598,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,531B,72,-0.1709,0.2118,-0.1954,0.1728,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,541B,72,-0.1792,0.1648,-0.2024,0.1678,average_rankme,none
