predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
A_min,accuracy_majority,0,pooled,,72,0.2449,0.0381,0.2601,0.0273,layer_29
A_min,overall_score,0,pooled,,72,0.1204,0.3136,0.168,0.1585,layer_29
A_min,transfer_score,0,pooled,,72,0.0806,0.5009,0.0126,0.9166,layer_29
A_min,transfer_score_str,0,pooled,,72,0.1733,0.1454,0.1944,0.1018,layer_29
A_min,overall_score_str,0,pooled,,72,0.2677,0.023,0.3327,0.0043,layer_29
A_min,transfer_margin_str,0,pooled,,72,0.1755,0.1403,0.2811,0.0168,layer_29
A_min,overall_margin_str,0,pooled,,72,0.4541,0.0001,0.4919,0.0,layer_29
A_min,accuracy_gpt-5-mini,0,pooled,,72,0.2132,0.0722,0.2401,0.0422,layer_29
A_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1419,0.2344,0.1735,0.1449,layer_29
A_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1983,0.095,0.1899,0.1101,layer_29
A_max,accuracy_majority,0,pooled,,72,0.1172,0.3269,0.0779,0.5154,layer_29
A_max,overall_score,0,pooled,,72,-0.0108,0.9281,-0.0019,0.9873,layer_29
A_max,transfer_score,0,pooled,,72,-0.0399,0.7395,-0.089,0.4573,layer_29
A_max,transfer_score_str,0,pooled,,72,-0.1957,0.0995,-0.1862,0.1173,layer_29
A_max,overall_score_str,0,pooled,,72,-0.1534,0.1982,-0.1157,0.3333,layer_29
A_max,transfer_margin_str,0,pooled,,72,0.077,0.5205,0.1391,0.244,layer_29
A_max,overall_margin_str,0,pooled,,72,-0.0065,0.9569,0.0534,0.6561,layer_29
A_max,accuracy_gpt-5-mini,0,pooled,,72,0.1148,0.3369,0.067,0.5762,layer_29
A_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0031,0.9797,-0.0169,0.8882,layer_29
